,age,capital.gain,capital.loss,education,education.num,fnlwgt,hours.per.week,income,marital.status,native.country,occupation,race,relationship,sex,workclass
65,39,0,2415,Bachelors,13,329980,60,1,Married-civ-spouse,United-States,Sales,White,Husband,Male,Self-emp-inc
66,42,0,2415,Prof-school,15,187702,60,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Self-emp-inc
67,49,0,2415,Bachelors,13,199029,55,1,Married-civ-spouse,United-States,Sales,White,Husband,Male,Private
68,47,0,2415,HS-grad,9,145290,50,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Self-emp-not-inc
69,41,0,2415,Prof-school,15,297248,45,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Local-gov
70,55,0,2415,Bachelors,13,227856,50,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Self-emp-inc
71,39,0,2415,Masters,14,179731,65,1,Married-civ-spouse,United-States,Exec-managerial,White,Wife,Female,Private
72,42,0,2415,Bachelors,13,154374,60,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Private
73,41,0,2415,Assoc-voc,11,27187,12,1,Married-civ-spouse,United-States,None,White,Husband,Male,None
74,46,0,2415,Masters,14,326857,65,1,Married-civ-spouse,United-States,Sales,White,Husband,Male,Private
75,40,0,2415,Masters,14,160369,45,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Private
76,32,0,2415,Bachelors,13,396745,48,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Private
77,41,0,2415,Some-college,10,151089,55,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Self-emp-inc
78,60,0,2415,Prof-school,15,336188,80,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Self-emp-inc
79,31,0,2415,Masters,14,279015,70,1,Married-civ-spouse,Taiwan,Exec-managerial,White,Husband,Male,Private
80,58,0,2415,Some-college,10,43221,40,1,Married-civ-spouse,United-States,Farming-fishing,White,Husband,Male,Self-emp-not-inc
81,37,0,2415,Bachelors,13,30529,50,1,Married-civ-spouse,United-States,Sales,White,Husband,Male,Self-emp-inc
82,44,0,2415,Bachelors,13,201742,50,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Self-emp-not-inc
83,55,0,2415,Bachelors,13,298449,50,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Self-emp-inc
84,44,0,2415,Masters,14,191712,55,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Self-emp-inc
85,39,0,2415,Prof-school,15,198654,67,1,Married-civ-spouse,India,Prof-specialty,Asian-Pac-Islander,Husband,Male,Private
86,46,0,2415,Bachelors,13,102308,40,1,Married-civ-spouse,United-States,Sales,White,Husband,Male,Self-emp-not-inc
87,39,0,2415,Some-college,10,348521,99,1,Married-civ-spouse,United-States,Farming-fishing,White,Husband,Male,Private
88,62,0,2415,Bachelors,13,56248,60,1,Married-civ-spouse,United-States,Farming-fishing,White,Husband,Male,Self-emp-inc
89,31,0,2415,HS-grad,9,252752,40,1,Married-civ-spouse,United-States,Other-service,White,Wife,Female,Self-emp-not-inc
90,46,0,2415,Bachelors,13,192963,35,1,Married-civ-spouse,Philippines,Adm-clerical,Asian-Pac-Islander,Husband,Male,Private
91,46,0,2415,Prof-school,15,198759,80,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Self-emp-not-inc
92,39,0,2415,Assoc-voc,11,143123,40,1,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Self-emp-inc
93,39,0,2415,Prof-school,15,237713,99,1,Married-civ-spouse,United-States,Sales,White,Husband,Male,Private
94,59,0,2415,Doctorate,16,81929,45,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Private
95,50,0,2415,Prof-school,15,167793,60,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Self-emp-inc
96,46,0,2415,Doctorate,16,456062,55,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Private
97,53,0,2415,Bachelors,13,105478,40,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Self-emp-not-inc
98,50,0,2415,Prof-school,15,42402,30,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Self-emp-not-inc
99,41,0,2415,Prof-school,15,114580,55,1,Married-civ-spouse,United-States,Exec-managerial,White,Wife,Female,Self-emp-inc
100,36,0,2415,Bachelors,13,346478,45,1,Married-civ-spouse,United-States,Sales,White,Husband,Male,Private
101,38,0,2415,Prof-school,15,187870,90,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Private
102,54,0,2415,Some-college,10,35576,50,1,Married-civ-spouse,United-States,Sales,White,Husband,Male,Private
103,50,0,2415,Bachelors,13,102346,20,1,Married-civ-spouse,United-States,Exec-managerial,White,Wife,Female,Private
104,47,0,2415,Bachelors,13,148995,60,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Private
105,47,0,2415,Prof-school,15,102308,45,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Self-emp-inc
106,67,0,2392,Bachelors,13,105252,40,1,Widowed,United-States,Exec-managerial,White,Not-in-family,Male,Private
107,67,0,2392,Bachelors,13,106175,75,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Self-emp-inc
108,72,0,2392,Doctorate,16,52138,25,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Self-emp-not-inc
109,72,0,2392,Doctorate,16,118902,6,1,Married-civ-spouse,United-States,None,White,Husband,Male,None
110,46,0,2392,Masters,14,191978,50,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Self-emp-inc
111,78,0,2392,Bachelors,13,188044,40,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Self-emp-inc
112,71,0,2392,Bachelors,13,66624,60,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Self-emp-inc
113,83,0,2392,Bachelors,13,153183,55,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Self-emp-inc
114,68,0,2392,Masters,14,211287,40,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Private
115,26,0,2377,Assoc-voc,11,181655,45,0,Married-civ-spouse,United-States,Adm-clerical,White,Husband,Male,Private
116,68,0,2377,Doctorate,16,235882,60,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,State-gov
117,49,0,2377,HS-grad,9,158685,40,1,Married-civ-spouse,United-States,Adm-clerical,White,Wife,Female,Self-emp-inc
118,36,0,2377,HS-grad,9,370767,60,0,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Private
119,70,0,2377,Bachelors,13,155141,12,1,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Self-emp-not-inc
120,27,0,2377,Some-college,10,156516,20,0,Married-civ-spouse,United-States,Adm-clerical,Black,Wife,Female,Private
121,35,0,2377,Some-college,10,177305,40,0,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Local-gov
122,23,0,2377,HS-grad,9,162945,40,0,Married-civ-spouse,United-States,Sales,White,Husband,Male,Private
123,81,0,2377,HS-grad,9,177408,26,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Private
124,66,0,2377,Doctorate,16,427422,25,1,Married-civ-spouse,United-States,Sales,White,Husband,Male,Self-emp-not-inc
125,71,0,2377,HS-grad,9,152307,45,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Private
126,68,0,2377,Some-college,10,218637,55,1,Married-civ-spouse,United-States,Sales,White,Husband,Male,Private
127,65,0,2377,Bachelors,13,240857,40,1,Married-civ-spouse,United-States,None,White,Husband,Male,None
128,52,0,2377,HS-grad,9,222405,40,0,Married-civ-spouse,United-States,Sales,Black,Husband,Male,Private
129,40,0,2377,Assoc-acdm,12,110862,50,0,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Self-emp-inc
130,68,0,2377,Bachelors,13,257269,35,1,Married-civ-spouse,United-States,None,White,Husband,Male,None
131,21,0,2377,Some-college,10,377931,48,0,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Private
132,35,0,2377,HS-grad,9,192923,40,0,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private
133,70,0,2377,Bachelors,13,207938,50,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Self-emp-inc
134,61,0,2352,HS-grad,9,36671,50,0,Married-civ-spouse,United-States,Farming-fishing,White,Husband,Male,Self-emp-not-inc
135,65,0,2352,HS-grad,9,81413,65,0,Married-civ-spouse,United-States,Farming-fishing,White,Husband,Male,Self-emp-inc
136,46,0,2339,5th-6th,3,214955,45,0,Divorced,United-States,Craft-repair,White,Not-in-family,Female,Private
137,26,0,2339,Bachelors,13,166295,55,0,Never-married,United-States,Prof-specialty,White,Not-in-family,Male,Local-gov
138,59,0,2339,HS-grad,9,147707,40,0,Widowed,United-States,Farming-fishing,White,Unmarried,Male,Local-gov
139,61,0,2339,5th-6th,3,43554,40,0,Never-married,United-States,Handlers-cleaners,Black,Not-in-family,Male,Private
140,60,0,2339,Bachelors,13,358893,40,0,Divorced,United-States,Prof-specialty,White,Not-in-family,Female,State-gov
141,49,0,2339,Some-college,10,141058,50,0,Divorced,United-States,Exec-managerial,White,Not-in-family,Male,Self-emp-inc
142,25,0,2339,Bachelors,13,77071,35,0,Never-married,United-States,Prof-specialty,White,Own-child,Female,Private
143,59,0,2339,HS-grad,9,171328,40,0,Separated,United-States,Protective-serv,Black,Other-relative,Female,Local-gov
144,28,0,2339,Some-college,10,381789,40,0,Separated,United-States,Exec-managerial,White,Own-child,Male,State-gov
145,43,0,2339,Assoc-voc,11,152569,36,0,Widowed,United-States,None,White,Not-in-family,Female,None
146,56,0,2339,Masters,14,346635,60,0,Divorced,United-States,Sales,White,Unmarried,Female,Self-emp-not-inc
147,41,0,2339,HS-grad,9,162140,40,0,Divorced,United-States,Craft-repair,White,Not-in-family,Male,Private
148,42,0,2339,HS-grad,9,191765,40,0,Never-married,Trinadad&Tobago,Adm-clerical,Black,Other-relative,Female,Private
149,28,0,2339,Prof-school,15,251905,40,0,Never-married,Canada,Prof-specialty,White,Not-in-family,Male,Private
150,40,0,2339,Prof-school,15,33310,35,0,Divorced,United-States,Other-service,White,Not-in-family,Female,Self-emp-not-inc
151,69,0,2282,Bachelors,13,228921,40,1,Widowed,United-States,Prof-specialty,White,Not-in-family,Male,Private
152,66,0,2267,HS-grad,9,36364,40,0,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Local-gov
153,69,0,2267,5th-6th,3,124930,40,0,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,Male,Private
154,55,0,2267,Masters,14,176046,40,0,Married-civ-spouse,United-States,Prof-specialty,White,Wife,Female,Local-gov
155,57,0,2258,HS-grad,9,370890,40,0,Never-married,United-States,Adm-clerical,White,Not-in-family,Male,Federal-gov
156,20,0,2258,Some-college,10,157145,10,0,Never-married,United-States,Farming-fishing,White,Own-child,Male,Self-emp-not-inc
157,33,0,2258,HS-grad,9,288825,84,0,Divorced,United-States,Craft-repair,White,Not-in-family,Male,Private
158,30,0,2258,Some-college,10,257295,40,0,Never-married,South,Sales,Asian-Pac-Islander,Other-relative,Male,Self-emp-not-inc
159,40,0,2258,Bachelors,13,287983,48,0,Never-married,Philippines,Tech-support,Asian-Pac-Islander,Not-in-family,Female,Private
160,38,0,2258,Some-college,10,101978,55,1,Separated,United-States,Machine-op-inspct,White,Not-in-family,Male,Private
161,46,0,2258,Assoc-acdm,12,192779,38,1,Divorced,United-States,Adm-clerical,White,Unmarried,Male,State-gov
162,29,0,2258,Bachelors,13,135296,45,1,Never-married,United-States,Exec-managerial,White,Not-in-family,Female,Private
163,57,0,2258,Bachelors,13,199114,40,0,Never-married,United-States,Adm-clerical,White,Not-in-family,Male,Federal-gov
164,39,0,2258,HS-grad,9,156897,42,1,Never-married,United-States,Craft-repair,White,Own-child,Male,Private
165,47,0,2258,Bachelors,13,138107,40,1,Divorced,United-States,Exec-managerial,White,Not-in-family,Male,Private
166,26,0,2258,Bachelors,13,279833,45,1,Never-married,United-States,Exec-managerial,White,Not-in-family,Male,Private
167,27,0,2258,HS-grad,9,208577,50,0,Never-married,United-States,Craft-repair,White,Not-in-family,Male,Self-emp-not-inc
168,23,0,2258,Bachelors,13,102942,40,1,Never-married,United-States,Prof-specialty,White,Own-child,Female,Private
169,34,0,2258,Masters,14,36385,50,0,Never-married,United-States,Prof-specialty,White,Not-in-family,Male,Private
170,33,0,2258,12th,8,176185,42,0,Divorced,United-States,Craft-repair,White,Not-in-family,Male,Private
171,38,0,2258,Masters,14,162613,60,0,Never-married,United-States,Prof-specialty,White,Not-in-family,Female,Local-gov
172,57,0,2258,Some-college,10,121362,38,1,Widowed,United-States,Adm-clerical,White,Unmarried,Female,Private
173,36,0,2258,HS-grad,9,145933,70,0,Never-married,United-States,Exec-managerial,White,Not-in-family,Male,Private
174,44,0,2258,Bachelors,13,29591,40,1,Divorced,United-States,Tech-support,White,Not-in-family,Male,Federal-gov
175,49,0,2258,Doctorate,16,269417,50,1,Never-married,United-States,Exec-managerial,White,Not-in-family,Female,State-gov
176,44,0,2258,Some-college,10,178510,60,0,Never-married,United-States,Sales,White,Not-in-family,Male,Self-emp-inc
177,55,0,2258,Some-college,10,41108,62,1,Widowed,United-States,Farming-fishing,White,Not-in-family,Male,Private
178,45,0,2258,HS-grad,9,187901,44,1,Divorced,United-States,Farming-fishing,White,Not-in-family,Male,Private
179,48,0,2258,HS-grad,9,175070,40,1,Divorced,United-States,Exec-managerial,White,Not-in-family,Female,Private
180,31,0,2246,Bachelors,13,263561,45,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Private
181,55,0,2246,HS-grad,9,99131,40,1,Married-civ-spouse,United-States,Prof-specialty,White,Other-relative,Female,Local-gov
182,70,0,2246,Some-college,10,143833,40,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Self-emp-not-inc
183,70,0,2246,Masters,14,124449,8,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Self-emp-not-inc
184,73,0,2246,Bachelors,13,336007,40,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Private
185,72,0,2246,Prof-school,15,285408,28,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Self-emp-not-inc
186,31,0,2238,HS-grad,9,327825,40,0,Separated,United-States,Machine-op-inspct,White,Unmarried,Female,Private
187,28,0,2238,10th,6,129460,35,0,Widowed,United-States,Adm-clerical,White,Unmarried,Female,Private
188,23,0,2231,Bachelors,13,258298,40,1,Never-married,United-States,Adm-clerical,White,Own-child,Male,Self-emp-not-inc
189,49,0,2231,9th,5,102359,40,1,Widowed,United-States,Handlers-cleaners,White,Unmarried,Male,Local-gov
190,27,0,2231,Some-college,10,92431,40,1,Never-married,United-States,Protective-serv,White,Not-in-family,Male,Local-gov
191,90,0,2206,HS-grad,9,51744,40,0,Never-married,United-States,Other-service,Black,Not-in-family,Male,Private
192,68,0,2206,HS-grad,9,166149,30,0,Widowed,United-States,Adm-clerical,White,Not-in-family,Female,Private
193,65,0,2206,HS-grad,9,149811,59,0,Divorced,Canada,Adm-clerical,White,Unmarried,Female,Private
194,65,0,2206,HS-grad,9,143118,10,0,Widowed,United-States,None,White,Unmarried,Female,None
195,67,0,2206,Bachelors,13,118363,5,0,Divorced,United-States,Exec-managerial,White,Not-in-family,Female,Private
196,66,0,2206,Bachelors,13,362165,25,0,Widowed,United-States,Prof-specialty,Black,Not-in-family,Female,Local-gov
197,24,0,2205,Some-college,10,379066,24,0,Never-married,United-States,Adm-clerical,White,Not-in-family,Male,Private
198,44,0,2205,Some-college,10,171424,35,0,Divorced,United-States,Machine-op-inspct,White,Not-in-family,Male,Self-emp-not-inc
199,35,0,2205,Some-college,10,108293,40,0,Never-married,United-States,Adm-clerical,White,Own-child,Female,Private
200,20,0,2205,Assoc-acdm,12,107801,18,0,Never-married,United-States,Other-service,White,Own-child,Female,Private
201,38,0,2205,HS-grad,9,126675,40,0,Divorced,United-States,Craft-repair,White,Not-in-family,Male,Private
202,39,0,2205,Some-college,10,155603,40,0,Never-married,United-States,Other-service,Black,Own-child,Female,Private
203,32,0,2205,Some-college,10,27882,40,0,Never-married,Holand-Netherlands,Machine-op-inspct,White,Other-relative,Female,Private
204,42,0,2205,7th-8th,4,242564,40,0,Never-married,United-States,Handlers-cleaners,Black,Not-in-family,Male,Private
205,63,0,2205,HS-grad,9,234083,40,0,Divorced,United-States,None,White,Not-in-family,Female,None
206,42,0,2201,Masters,14,23510,60,1,Divorced,India,Exec-managerial,Asian-Pac-Islander,Unmarried,Male,Self-emp-inc
207,64,0,2179,11th,7,181232,40,0,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private
208,28,0,2179,7th-8th,4,166481,40,0,Married-civ-spouse,Puerto-Rico,Handlers-cleaners,Other,Husband,Male,Private
209,41,0,2179,Assoc-voc,11,139916,84,0,Married-civ-spouse,Mexico,Sales,Other,Husband,Male,Self-emp-inc
210,41,0,2179,7th-8th,4,144594,40,0,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Self-emp-not-inc
211,58,0,2179,1st-4th,2,266707,18,0,Married-civ-spouse,United-States,Transport-moving,White,Husband,Male,Self-emp-not-inc
212,59,0,2179,Some-college,10,303176,40,0,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,State-gov
213,34,0,2179,HS-grad,9,56460,12,0,Married-civ-spouse,United-States,Farming-fishing,White,Wife,Female,Self-emp-not-inc
214,45,0,2179,HS-grad,9,167523,45,0,Married-civ-spouse,United-States,Transport-moving,White,Husband,Male,Private
215,29,0,2179,HS-grad,9,119004,40,0,Married-civ-spouse,United-States,Adm-clerical,White,Wife,Female,Private
216,47,0,2179,10th,6,175925,52,0,Married-civ-spouse,United-States,Sales,White,Husband,Male,Private
217,40,0,2179,Some-college,10,212847,40,0,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,Male,Private
218,47,0,2179,5th-6th,3,191175,50,0,Married-civ-spouse,Mexico,Sales,White,Husband,Male,Self-emp-not-inc
219,63,0,2179,Bachelors,13,83043,45,0,Married-civ-spouse,United-States,None,White,Husband,Male,None
220,41,0,2179,HS-grad,9,170214,40,0,Married-civ-spouse,United-States,Handlers-cleaners,White,Husband,Male,Self-emp-not-inc
221,34,0,2179,Some-college,10,180714,40,0,Married-civ-spouse,United-States,Transport-moving,Black,Husband,Male,Private
222,66,0,2174,Bachelors,13,177351,40,1,Married-civ-spouse,United-States,None,White,Husband,Male,None
223,65,0,2174,Some-college,10,111483,10,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Self-emp-not-inc
224,70,0,2174,HS-grad,9,282642,40,1,Married-civ-spouse,United-States,Handlers-cleaners,White,Husband,Male,Private
225,75,0,2174,Prof-school,15,309955,50,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Self-emp-not-inc
226,65,0,2174,HS-grad,9,215908,40,1,Married-civ-spouse,United-States,Adm-clerical,White,Husband,Male,State-gov
227,65,0,2174,Some-college,10,23494,40,1,Married-civ-spouse,United-States,Exec-managerial,Black,Husband,Male,Federal-gov
228,73,0,2174,Some-college,10,147551,50,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Private
229,60,0,2163,Bachelors,13,141221,25,0,Married-civ-spouse,South,None,Asian-Pac-Islander,Husband,Male,None
230,68,0,2149,Assoc-voc,11,116903,40,0,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Self-emp-not-inc
231,74,0,2149,HS-grad,9,119129,20,0,Married-civ-spouse,United-States,Sales,White,Husband,Male,Self-emp-not-inc
232,19,0,2129,11th,7,342384,55,0,Married-civ-spouse,United-States,Craft-repair,White,Own-child,Male,Self-emp-not-inc
233,37,0,2129,HS-grad,9,68899,40,0,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Self-emp-not-inc
234,45,0,2080,Assoc-acdm,12,207107,40,0,Divorced,Philippines,Adm-clerical,Asian-Pac-Islander,Unmarried,Male,Federal-gov
235,64,0,2057,Masters,14,149044,60,0,Married-civ-spouse,China,Prof-specialty,Asian-Pac-Islander,Husband,Male,Private
236,30,0,2057,HS-grad,9,148524,40,0,Married-civ-spouse,United-States,Transport-moving,White,Husband,Male,Private
